Term,Class,Example
PID,RecordLevel,urn:uuid:ea4f0640-ef20-40aa-b359-166f07c7492a
role,PersonRole,Collection Manager
fullName,Person,Adam Ferguson
rightsHolder,RecordLevel,Field Museum of Natural History
status,ColectionHistory,Active growth
status,CollectionHistory,founded
statusStartDate,CollectionHistory,1893-01-02
organisationalUnitParentInstitutionID,OrganisationalUnit,SuperStableInsititutionID345fromsomewhereorsomeoneelse
resourceURI,Reference,https://collections-zoology.fieldmuseum.org/Mammals
referenceType,Reference,website
identifier,Identifier,MAMM
identifierSource,Identifier,GRSciCol
currentStatus,ObjectGroup,true
continent,GeographicOrigin,worldwide
collectionStrength,ObjectGroup,"The collection's absolute size and geographic and taxonomic representation make it one of the most significant collections for specimen-based studies in mammalogy. Geographic Areas: Neotropical (particularly Peru, Chile, and Colombia); Afro-tropics (particularly Tanzania, Madagascar, and Kenya); Indo-Malayan (particularly the Philippines, China, and Malaysia);  Palearctic (particularly Egypt, Iran, and Afghanistan). Taxonomic Strengths: All orders and all but one extant families (the monotypic bat family Craseonycteridae) are represented in The Field Museum's mammal collections."
kingdom,Taxon,Animalia
order,Taxon,Mammalia
collectionManagementSystem,ObjectGroup,EMu
knownToContainTypes,ObjectGroup,true
objectType,ObjectGroup,specimen
discipline,ObjectGroup,Zoology
typeOfCollection,ObjectGroup,PreservedSpecimens | HominidRemains | MaterialSamples 
measurementType,MeasurementOrFact,collection size
measurementValue,MeasurementOrFact,"260,000"
measurementUnit,MeasurementOrFact,items 
addressLocality,Address,Chicago
addressCountry,Address,USA
addressRegion,Address,IL
streetAddress,Address,1400 S DuSable Lake Shore Drive
postalCode,Address,60605
addressType,Address,Physical
