namespace,term_localName,label,definition,usage,notes,examples,rdf_type,tdwgutility_organizedInClass,tdwgutility_required,tdwgutility_repeatable,term_status,term_added,term_modified
ltc:,Address,Address,A physical address for an organisational unit or person.,,,,http://www.w3.org/2000/01/rdf-schema#Class,Address,No,Yes,original,08/07/2022,
schema:,addressCountry,Address Country,"The country. For example, USA. You can also provide the two-letter ISO 3166-1 alpha-2 country code.",,Recommended best practice is to use a controlled vocabulary -- e.g. current ISO 3166 Country Codes.,"`Denmark`, `DK`, `Colombia`, `CO`, `España`, `ES`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,Address,Yes,No,original,08/07/2022,
schema:,addressLocality,Address Locality,"The locality in which the street address is, and which is in the region. For example, Mountain View.",The locality in which the address is located. AddressLocality is a more specific geographic area than addressRegion.,,"`Holzminden`, `Araçatuba`, `Ga-Segonyana`, `Mountain View`, `Coventry`, `Tokyo`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,Address,No,No,original,08/07/2022,
schema:,addressRegion,Address Region,"The region in which the locality is, and which is in the country. For example, California or another appropriate first-level Administrative division.",,,"`Missoula`, `Los Lagos`, `Mataró`, `Guangdong`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,Address,No,No,original,08/07/2022,
ltc:,addressType,Address Type,"A person or organization can have different addresses, for different purposes. For example, a postal address, a loan address, an address for visits and so on. This property is used to specify the kind of address.",,,"`Physical`, `Postal`, `Loans`, `Visits`, `Home`, `Work`, `Main`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,Address,No,No,original,08/07/2022,
ltc:,hasIdentifier,Has Identifier,This property refers to one or more related instances of the Identifier class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,Address,No,No,original,08/07/2022,
schema:,postalCode,Postal Code,"The postal code. For example, 94043.",,,"`32308`, `SW7 5HD`, `10115`, `3080`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,Address,No,No,original,08/07/2022,
schema:,postOfficeBoxNumber,Post Office Box Number,The post office box number for PO box addresses.,,,`PO Box 7169`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,Address,No,No,original,08/07/2022,
schema:,streetAddress,Street Address,"The street address. For example, 1600 Amphitheatre Pkwy.",,,"`Invalidenstraße 43`, `1400 S. Du Sable Lake Shore Dr`, `960 Carling Avenue`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,Address,Yes,No,original,08/07/2022,
dwc:,ChronometricAge,Chronometric Age,The age of a specimen or related materials that is generated from a dating assay.,,"To represent a single age, enter the same value in both earliestChronometricAge and latestChronometricAge. Leaving one or both of these fields blank indicates that the value is unknown, has yet to be recorded or is not applicable to the material being described. We recommend that you do not use this class to indicate chronostratigraphy: it is intended to be used to reflect a chronometric age or range of ages determined via one or more named analytical protocols, methods or techniques.",,http://www.w3.org/2000/01/rdf-schema#Class,ChronometricAge,No,Yes,original,08/07/2022,
dwc:,chronometricAgeProtocol,Chronometric Age Protocol,A description of or reference to the methods used to determine the ChronometricAge.,,,"`Radiocarbon dating using an Accelerator Mass Spectrometry`, `Pb-Pb Dating`, `41Ca - 41K Chronometer`, `U-Pb Dating using a Thermal Ionization Mass Spectrometer`, `U-Pb Radiometric Dating`, `Thermoluminescence`, `Paleomagnetism`, `Pb-Pb Chronometer as described in Amelin et al. (2002) Science 297, 1678-1683`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,ChronometricAge,No,No,original,08/07/2022,
dwc:,chronometricAgeRemarks,Chronometric Age Remarks,Notes or comments about the ChronometricAge.,,,"`Beta Analytic number: 323913` `One of the Crassostrea virginica right valve specimens from North Midden Feature 17 was chosen for AMS dating, but it is unclear exactly which specimen it was.`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,ChronometricAge,No,No,original,08/07/2022,
dwc:,chronometricAgeUncertaintyInYears,Chronometric Age Uncertainty In Years,The temporal uncertainty of the earliestChronometricAge and latestChronometicAge in years.,,The expected unit for this field is years. The value in this field is number of years before and after the values given in the earliest and latest chronometric age fields within which the actual values are estimated to be.,`100`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,ChronometricAge,No,No,original,08/07/2022,
dwc:,earliestChronometricAge,Earliest Chronometric Age,The maximum/earliest/oldest possible age of a specimen as determined by a dating method.,,"The expected unit for this field is years. This field, if populated, must have an associated earliestChronometricAgeReferenceSystem.",`100`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,ChronometricAge,No,No,original,08/07/2022,
dwc:,earliestChronometricAgeReferenceSystem,Earliest Chronometric Age Reference System,The reference system associated with the earliestChronometricAge.,,,"`kya`, `mya`, `BP`, `AD`, `BCE`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,ChronometricAge,No,No,original,08/07/2022,
ltc:,hasIdentifier,Has Identifier,This property refers to one or more related instances of the Identifier class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,ChronometricAge,No,No,original,08/07/2022,
ltc:,hasMeasurementOrFact,Has Measurement Or Fact,This property refers to one or more related instances of the MeasurementOrFact class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,ChronometricAge,No,No,original,08/07/2022,
ltc:,hasReference,Has Reference,This property refers to one or more related instances of the Reference class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,ChronometricAge,No,No,original,08/07/2022,
dwc:,latestChronometricAge,Latest Chronometric Age,The minimum/latest/youngest possible age of a specimen as determined by a dating method.,The minimum/latest/youngest possible age of an object in the collection as determined by a dating method.,"The expected unit for this field is years. This field, if populated, must have an associated latestChronometricAgeReferenceSystem.",`27`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,ChronometricAge,No,No,original,08/07/2022,
dwc:,latestChronometricAgeReferenceSystem,Latest Chronometric Age Reference System,The reference system associated with the latestChronometricAge.,,Recommended best practice is to use a controlled vocabulary.,"`kya`, `mya`, `BP`, `AD`, `BCE`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,ChronometricAge,No,No,original,08/07/2022,
dwc:,verbatimChronometricAge,Verbatim Chronometric Age,"The verbatim age for a specimen, whether reported by a dating assay, associated references, or legacy information.","The verbatim age for the objects in the collection, whether reported by a dating assay, associated references, or legacy information.","For example, this could be the radiocarbon age as given in an AMS dating report. This could also be simply what is reported as the age of a specimen in legacy collections data.",`27 BC to 14 AD`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,ChronometricAge,No,No,original,08/07/2022,
ltc:,CollectionStatusHistory,Collection Status History,A record of current and past statuses of the object group and the reason for status changes.,,"Use this class to record the history of and reason for changes in the status of the described collection. Types of status described by this class may, for example, include ownership, management, accessibility or accrual policy over time. Dates reflecting the start and end of the status described by this class should be recorded using an instance of TemporalCoverage. If temporalCoverageEndDateTime is empty, the status should be inferred to be the current status of the collection.",,http://www.w3.org/2000/01/rdf-schema#Class,CollectionStatusHistory,No,Yes,original,08/07/2022,
ltc:,hasIdentifier,Has Identifier,This property refers to one or more related instances of the Identifier class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,CollectionStatusHistory,No,No,proposed,22/09/2022,
ltc:,hasMeasurementOrFact,Has Measurement Or Fact,This property refers to one or more related instances of the MeasurementOrFact class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,CollectionStatusHistory,No,No,proposed,22/09/2022,
ltc:,hasReference,Has Reference,This property refers to one or more related instances of the Reference class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,CollectionStatusHistory,No,No,original,08/07/2022,
ltc:,hasTemporalCoverage,Has Temporal Coverage,This property refers to one or more related instances of the TemporalCoverage class.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,CollectionStatusHistory,No,No,original,08/07/2022,
ltc:,status,Status,The development status of the collection during a specified period.,,The values/vocabularies for a status are predicated by the statusType. The in the examples mentioned terms are a cumulative list of terms associated with several different statusTypes.,"`Complete`, `In part`, `Developing`, `Closed`, `Active growth`, `Consumable`, `Decreasing`, `Lost`, `Missing`, `Passive growth`, `Static`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,CollectionStatusHistory,Yes,No,original,08/07/2022,
